sub_dir,model_name,N,file_name,is_satisfied,model_length_equals_N,sat_flag_in_file
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst101.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst101_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst102.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst102_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1034.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1034_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1069.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1069_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1078.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1078_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1084.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1084_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst109.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1092.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1092_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst109_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1149.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1149_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1155.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1155_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1169.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1169_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1220.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1220_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1233.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1233_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1251.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1251_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1265.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1265_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1277.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1277_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst129.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst129_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1321.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1321_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1322.txt,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1322_RC2_fixed.cnf,False,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1346.txt,False,True,UNSATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1346_RC2_fixed.cnf,True,True,SATISFIABLE
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,chatgpt-4o-latest,5,cnf_k3_N5_L17_alpha3.5_inst1416.txt,False,True,SATISFIABLE
