sub_dir,N,model_name,literals_number,Assignments_satisfied_number,Assignments_not_satisfied_number,Assignments_satisfied_rate
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,5,chatgpt-4o-latest,5,29,108,0.2116788321167883
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,8,chatgpt-4o-latest,8,4,136,0.02857142857142857
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,10,chatgpt-4o-latest,10,1,139,0.007142857142857143
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,25,chatgpt-4o-latest,25,0,140,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,50,chatgpt-4o-latest,50,0,140,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,60,chatgpt-4o-latest,60,0,110,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,5,deepseek-reasoner,5,57,0,1.0
unsat_cnf_low_alpha_N_8_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,8,deepseek-reasoner,8,46,7,0.8679245283018868
unsat_cnf_low_alpha_N_10_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,10,deepseek-reasoner,10,44,7,0.8627450980392157
unsat_cnf_low_alpha_N_25_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,25,deepseek-reasoner,25,8,80,0.09090909090909091
unsat_cnf_low_alpha_N_50_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,50,deepseek-reasoner,50,0,76,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,5,gpt-3.5-turbo,5,5,95,0.05
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,8,gpt-3.5-turbo,8,0,97,0.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,10,gpt-3.5-turbo,10,0,81,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,25,gpt-3.5-turbo,25,0,80,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,50,gpt-3.5-turbo,50,0,97,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,60,gpt-3.5-turbo,60,0,82,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,5,gpt-3.5-turbo-0125,5,4,100,0.038461538461538464
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,8,gpt-3.5-turbo-0125,8,1,93,0.010638297872340425
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,10,gpt-3.5-turbo-0125,10,0,74,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,25,gpt-3.5-turbo-0125,25,0,80,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,50,gpt-3.5-turbo-0125,50,0,92,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,60,gpt-3.5-turbo-0125,60,0,79,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-4-turbo,5,gpt-4-turbo,5,11,122,0.08270676691729323
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-4-turbo,8,gpt-4-turbo,8,1,124,0.008
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-4-turbo,10,gpt-4-turbo,10,0,127,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-4-turbo,25,gpt-4-turbo,25,0,124,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-4-turbo,50,gpt-4-turbo,50,0,121,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-4-turbo,60,gpt-4-turbo,60,0,87,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-4.1,5,gpt-4.1,5,42,77,0.35294117647058826
