sub_dir,N,model_name,literals_number,Assignments_satisfied_number,Assignments_not_satisfied_number,Assignments_satisfied_rate
unsat_cnf_low_alpha_N_5_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,5,deepseek-reasoner,5,56,0,1.0
unsat_cnf_low_alpha_N_8_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,8,deepseek-reasoner,8,41,2,0.9534883720930233
unsat_cnf_low_alpha_N_10_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,10,deepseek-reasoner,10,2,0,1.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_deepseek_prediction_deepseek-reasoner,25,deepseek-reasoner,25,0,0,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,5,gpt-3.5-turbo,5,1,10,0.09090909090909091
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,8,gpt-3.5-turbo,8,0,10,0.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,10,gpt-3.5-turbo,10,0,15,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,25,gpt-3.5-turbo,25,0,10,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,50,gpt-3.5-turbo,50,0,7,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-3.5-turbo,60,gpt-3.5-turbo,60,0,10,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,5,gpt-3.5-turbo-0125,5,1,8,0.1111111111111111
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,8,gpt-3.5-turbo-0125,8,0,13,0.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,10,gpt-3.5-turbo-0125,10,0,7,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,25,gpt-3.5-turbo-0125,25,0,10,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,50,gpt-3.5-turbo-0125,50,0,6,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-3.5-turbo-0125,60,gpt-3.5-turbo-0125,60,0,3,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-4-turbo,5,gpt-4-turbo,5,0,0,0.0
